item_id,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,num_masked_target_values,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
,2017-01,4358172.751478861,12508.22800272306,1033.0,172.16666666666666,869.123595505618,2.3986285470799125,15.476915258519336,1.725141122702947,0.0,12.108642790632198,95.9451418831965,22514.81040490151,1.0,12508.22800272306,1.0,2501.645600544611,1.0
,2017-02,4051204.2398971766,12066.38349866543,830.0,138.33333333333334,864.3631284916202,2.3266424146917264,20.169395246923447,1.7681620956970685,0.0,14.537811444175215,93.06569658766907,21719.490297597775,1.0,12066.38349866543,1.0,2413.2766997330855,1.0
,2017-03,3825703.9962861366,11702.74061738912,639.0,106.5,860.6388888888889,2.266289374958355,23.475937656717793,1.8116930271045286,0.0,18.314148071031486,90.65157499833418,21064.933111300415,1.0,11702.74061738912,1.0,2340.5481234778235,1.0
,2017-04,3594558.2512527383,11350.33233704178,464.0,77.33333333333333,856.6685082872929,2.2082311160890966,29.86031612430082,1.8535087062942006,0.0,24.46192314017625,88.32924464356387,20430.598206675208,1.0,11350.33233704178,1.0,2270.0664674083555,1.0
,2017-05,3460756.10714749,11140.239260206401,415.0,69.16666666666667,852.4120879120879,2.178179509297646,30.449669417085925,1.862587867232709,0.0,26.843950024593738,87.12718037190582,20052.430668371522,1.0,11140.239260206401,1.0,2228.04785204128,1.0
,2017-06,3437256.459495568,11104.473627139821,538.0,89.66666666666667,847.8907103825137,2.182764337267437,28.294667881482344,1.8305675568260478,0.0,20.6402855523045,87.31057349069745,19988.052528851676,1.0,11104.473627139821,1.0,2220.8947254279637,1.0
,2017-07,3325906.800873576,10930.99384296895,809.0,134.83333333333334,843.3097826086956,2.1603357920571407,24.046999061142653,1.7615816483930054,0.0,13.511735281791038,86.41343168228562,19675.78891734411,1.0,10930.99384296895,1.0,2186.1987685937893,1.0
,2017-01,2299143.926440359,9035.89705992243,1995.0,332.5,2205.5898876404494,0.6828027512093432,4.985058871229209,1.404994847705071,0.0,4.529271709234301,27.31211004837373,16264.614707860374,1.0,9035.89705992243,1.0,1807.1794119844856,1.0
,2017-02,2879932.846274421,9954.881506193191,2045.0,340.8333333333333,2263.8603351955308,0.7328839557390645,5.3601205965679,1.4185818068752116,0.0,4.867912716964885,29.315358229562577,17918.786711147746,1.0,9954.881506193191,1.0,1990.9763012386377,1.0
,2017-03,3320130.4951205105,10715.2969192509,2056.0,342.6666666666667,2307.95,0.7737961480427004,5.844759306581881,1.4410425296324831,0.0,5.211720291464446,30.951845921708014,19287.53445465162,1.0,10715.2969192509,1.0,2143.0593838501795,1.0
,2017-04,3810620.429061052,11569.479594228062,1947.0,324.5,2341.292817679558,0.8235819904616136,7.05504319950209,1.4961357477027502,0.0,5.942208317528537,32.94327961846454,20825.06326961051,1.0,11569.479594228062,1.0,2313.8959188456115,1.0
,2017-05,3986180.686912336,11888.087890704483,1857.0,309.5,2354.7582417582416,0.8414231009569183,7.697794495264916,1.52906628514455,0.0,6.401770538882328,33.65692403827673,21398.55820326807,1.0,11888.087890704483,1.0,2377.6175781408956,1.0
,2017-06,3859989.1524512717,11636.842499416669,1694.0,282.3333333333333,2349.6284153005463,0.8254384979655158,7.847535250488291,1.5470567892326477,0.0,6.86944657580677,33.01753991862064,20946.316498950007,1.0,11636.842499416669,1.0,2327.3684998833337,1.0
,2017-07,3549128.7280716947,11020.47100084041,1575.0,262.5,2339.9021739130435,0.7849666483001408,7.767515579794678,1.5360679986642982,0.0,6.997124444978039,31.398665932005635,19836.847801512737,1.0,11020.47100084041,1.0,2204.0942001680814,1.0
,2017-01,3819297.3612076608,11681.894032732318,728.0,121.33333333333333,202.80337078651687,9.600345059541597,18.836975138335962,1.783498530510237,0.0,16.04655773726967,384.01380238166394,21027.409258918175,1.0,11681.894032732318,1.0,2336.3788065464632,1.0
,2017-02,3673688.343213249,11462.49772979708,657.0,109.5,201.68156424581005,9.472438868884876,25.236381837958685,1.80230001884886,0.0,17.446724094059483,378.89755475539505,20632.495913634746,1.0,11462.49772979708,1.0,2292.4995459594156,1.0
,2017-03,3197450.462368014,10671.235010599941,492.0,82.0,201.11111111111111,8.843564925911553,36.286984680977476,1.8415229396951414,0.0,21.68950205406492,353.7425970364621,19208.22301907989,1.0,10671.235010599941,1.0,2134.2470021199874,1.0
,2017-04,2810790.0216527074,9938.005228728809,314.0,52.333333333333336,201.24861878453038,8.230288559453479,45.88370046330218,1.887759091165761,0.0,31.649698180665,329.21154237813926,17888.409411711862,1.0,9938.005228728809,1.0,1987.6010457457617,1.0
,2017-05,2594768.775076687,9564.5681687445,287.0,47.833333333333336,201.46703296703296,7.912434462920786,46.74935740402838,1.892020473158069,0.0,33.326021493883275,316.4973785168315,17216.2227037401,1.0,9564.5681687445,1.0,1912.9136337488997,1.0
,2017-06,2827538.1747664325,9936.81686821312,210.0,35.0,200.91803278688525,8.242844714983141,55.573072652417586,1.9200646306587765,0.0,47.31817556291962,329.71378859932565,17886.270362783616,1.0,9936.81686821312,1.0,1987.3633736426236,1.0
,2017-07,3121405.4206486098,10369.84897068093,176.0,29.333333333333332,199.97282608695653,8.642715090842467,65.44960316855098,1.9331282901227909,0.0,58.919596424323466,345.7086036336986,18665.728147225673,1.0,10369.84897068093,1.0,2073.9697941361856,1.0
